,nom,latitude,longitude,gid_0,name_0,gid_1,name_1,gid_2,name_2,gid_3,name_3,gid_4,name_4,gid_5,name_5,id,idplace,idauteur,date_review,country
51,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",333271973,244980,2ACAB5408E5139BEFB94D112C6258495,2015-12-16,France
52,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",332603611,244980,257350229E9273DB17EF807DC6D13F96,2015-12-14,France
53,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",332325772,244980,6F468A03A8018347F9A594BD9406AED9,2015-12-12,Belgium
54,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",331663050,244980,C57AF50C043DB12A43B6E4843EE5E3B4,2015-12-09,
55,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",328380266,244980,D99479B1E692DA34CF287214A217B780,2015-11-22,France
56,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",325257421,244980,60D7A926CC3F05CE455A8709FE124D9E,2015-11-08,France
57,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",323636620,244980,D6D0998B9A1E5829E66633C573401180,2015-11-01,France
58,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",322260029,244980,C00B07F262779649A392805DF265C352,2015-10-27,France
59,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",321409187,244980,6F3C4739500162AAF9B9D9D696FDB38F,2015-10-24,France
60,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",320301039,244980,905960BC96CFCFF284435FB29EB0FFBA,2015-10-20,France
61,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",320016879,244980,17302457304A090BF695C742DA95EF78,2015-10-19,
62,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",319897783,244980,3FD6FE762AA581973C2EF2E5883E00CA,2015-10-18,
63,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",311803865,244980,DF5683FD20CE28A58AD30DE69FB9AE2C,2015-09-19,France
64,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",291000882,244980,776183A5BA8E3CA7857694BC1A2A7B48,2015-07-21,France
65,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",281063169,244980,5713F22AC22E04E505494943319B729D,2015-06-18,France
66,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",261469736,244980,78975AD1528FC2D8425310294F7DDF63,2015-03-24,France
67,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",259928558,244980,CD0F4EE7624559D5ADC4033E5647CEDC,2015-03-17,
68,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",259582724,244980,6B49EBD00BD8BAD9994CB8B08609685E,2015-03-15,-
69,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",258420360,244980,466076B02AA006B76F8C329919F44156,2015-03-08,United States
70,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",258176828,244980,195F8C8F361668647E7CC298B23BC1F8,2015-03-06,France
71,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",256905926,244980,13608D3A923BBD4C0512A89B8C4C8BD8,2015-02-28,France
72,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",256045786,244980,247105A29594398BE9C93695990DF37F,2015-02-23,France
